Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1506425868679368705,@eddierobbins We'd like to look into this for you. Please provide your details here: https://t.co/pogNqicu3m. -Gwyneth,Amazon,amazon,2022-03-23T00:21:29.000Z,Wed Mar 23 00:21:29 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,https://amzn.to/3NapSpN ,0,1,,,,,
1506412223178096645,"@eddierobbins We're sorry for the disappointment. Please look on the order details to see who the carrier is, and let us know: https://t.co/SsGOmzG2p2. When you click on ""Track Package"", the carrier name will appear as UPS, Amazon, or USPS, etc. -Gwyneth",Amazon,amazon,2022-03-22T23:27:16.000Z,Tue Mar 22 23:27:16 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://amzn.to/NAYourOrders ,0,1,,,,,
1506364783251144712,RT @ajassy : First shipments of critical supplies just arrived at a fulfillment center in Slovakia we?ve converted into a humanitarian aid hub. This will help charities get needed items to Ukrainian families faster. More help coming soon through our logistics network. https://t.co/NPEsI2kzJc https://t.co/AJLPgUOltV,Amazon,amazon,2022-03-22T20:18:45.000Z,Tue Mar 22 20:18:45 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.aboutamazon.com/news/community/amazons-assistance-in-ukraine#March-22 ,0,0,photo,https://pbs.twimg.com/media/FOeuf_rVIAMLSYC.jpg,,,
1506341974336487426,"@mare5357 Thanks for the update! We'd like to take a look at this with you. You can relay your details here: https://t.co/j4320q0PCk, and someone will contact you shortly! -Gena",Amazon,amazon,2022-03-22T18:48:07.000Z,Tue Mar 22 18:48:07 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,https://amzn.to/3Nbpfw4 ,0,1,,,,,
1506329863531253763,Are you a ?Wish List? type of person or more of a ?Save for Later??,Amazon,amazon,2022-03-22T18:00:00.000Z,Tue Mar 22 18:00:00 +0000 2022,409,24,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,,0,0,,,,,
1506308686901305344,@mare5357 Thanks for clarifying. What has been advised when you contacted us directly about this? -Damian,Amazon,amazon,2022-03-22T16:35:51.000Z,Tue Mar 22 16:35:51 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1506300643962720268,"@mare5357 Hi there, I'm sorry to hear this. Could you confirm whether Amazon was the assigned carrier for the delivery of this order? You can check here: https://t.co/SsGOmzG2p2. -Damian",Amazon,amazon,2022-03-22T16:03:53.000Z,Tue Mar 22 16:03:53 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://amzn.to/NAYourOrders ,0,1,,,,,
1506280712013598721,"@ayexgirlyy Hi, sorry to hear about the poor experience. Without revealing any personal/account information can you provide us with some detail on the issue?
-Tom",Amazon,amazon,2022-03-22T14:44:41.000Z,Tue Mar 22 14:44:41 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1505922180676206592,"Small businesses are the heart of Amazon ??

Find truly unique items while supporting local artists and entrepreneurs. Talk about a win-win. ??

https://t.co/dhj5OcAnZc",Amazon,amazon,2022-03-21T15:00:01.000Z,Mon Mar 21 15:00:01 +0000 2022,105,18,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,https://amzn.to/3sUw5wE ,0,0,,,,,
1505867127030489089,"@me_sidawast That's quite a remark! Request you to elaborate on your concern, so we can assist you accordingly.

- Navya",Amazon,amazon,2022-03-21T11:21:15.000Z,Mon Mar 21 11:21:15 +0000 2022,3,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1505760050668789762,"@lifeofprettie Hello. We're very sorry to hear that your order has been delayed. Have you been provided with an updated delivery date? You can find this, and all order updates, here: https://t.co/SsGOmzG2p2. We look forward to your reply, so we can assist you best! -Jason",Amazon,amazon,2022-03-21T04:15:46.000Z,Mon Mar 21 04:15:46 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://amzn.to/NAYourOrders ,0,1,,,,,
1505711106584678400,"@johnmspence  We?d like to take a closer look at this. Please provide us your details using this secure link: https://t.co/cbMykfdpWZ ,and we'll be happy to help! -Sharon",Amazon,amazon,2022-03-21T01:01:17.000Z,Mon Mar 21 01:01:17 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,https://amzn.to/3qllOJD ,0,1,,,,,
1505559789866213376,"Suddenly, it?s Spring ?? Say hello to the sun and goodbye to your winter wardrobe with @AmazonFashion.",Amazon,amazon,2022-03-20T15:00:00.000Z,Sun Mar 20 15:00:00 +0000 2022,161,14,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,,0,1,,,,,
1505439492567703552,@ArijeetKumar10 We understand your concern regarding the cashback. If the purchase is eligible for the cashback the same will be processed in 3-5 business days. Appreciate your understanding. 1/2 -Saima,Amazon,amazon,2022-03-20T07:01:59.000Z,Sun Mar 20 07:01:59 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,,0,1,,,,,
1505315867160195075,"@Notingshaw Hello. We're sorry to hear this. If this is an unresolved issue, please reach out we're here to help. -Teia",Amazon,amazon,2022-03-19T22:50:44.000Z,Sat Mar 19 22:50:44 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
